date,gross_return,turnover,cost,net_return,nav
2022-11-17,-0.004198543684451613,0.0,0.0,-0.004198543684451613,1.116665141008373
2022-11-18,-0.002269541305671883,0.0,0.0,-0.002269541305671883,1.1141308233462506
2022-11-21,-0.004985200923775769,0.5834691534414747,0.0008752037301622121,-0.0058604046539379815,1.1076015658840164
2022-11-22,-0.00538253384970441,0.0,0.0,-0.00538253384970441,1.10163986296366
2022-11-23,-0.0011536056644537952,0.0,0.0,-0.0011536056644537952,1.100369004977557
2022-11-24,0.00041720909801705236,0.0,0.0,0.00041720909801705236,1.1008280889376096
2022-11-25,-0.0014597110589002153,0.0,0.0,-0.0014597110589002153,1.0992211980022395
2022-11-28,-0.002978863969648439,0.40896430943993883,0.0006134464641599082,-0.003592310433808347,1.0952724542235928
2022-11-29,0.004433447543768178,0.0,0.0,0.004433447543768178,1.1001282871955274
2022-11-30,0.0005283172312891592,0.0,0.0,0.0005283172312891592,1.1007095039262813
2022-12-01,0.003950549423816813,0.0,0.0,0.003950549423816813,1.105057911222807
2022-12-02,7.845202151042659e-05,0.0,0.0,7.845202151042659e-05,1.1051446052498286
2022-12-05,0.002492252206670942,0.4357379527167084,0.0006536069290750626,0.0018386452775958793,1.1071765741593318
2022-12-06,-0.005272366226170284,0.0,0.0,-0.005272366226170284,1.1013391337833272
2022-12-07,-0.00061207251119321,0.0,0.0,-0.00061207251119321,1.100665034374037
2022-12-08,-0.0002786923945220216,0.0,0.0,-0.0002786923945220216,1.1003582874000406
2022-12-09,0.0013784174290572034,0.0,0.0,0.0013784174290572034,1.1018750404416005
2022-12-12,-0.005025726311945375,0.9965045125140213,0.0014947567687710317,-0.006520483080716407,1.0946902828833374
2022-12-13,-0.0005871834303396515,0.0,0.0,-0.0005871834303396515,1.0940474988878743
2022-12-14,0.0019297870306543632,0.0,0.0,0.0019297870306543632,1.096158777562148
2022-12-15,-0.009515706776928834,0.0,0.0,-0.009515706776928834,1.0857280520539099
2022-12-16,0.0008823878550116703,0.0,0.0,0.0008823878550116703,1.0866860853008877
2022-12-19,-0.009552229260918026,0.42073509070415444,0.0006311026360562317,-0.010183331896974257,1.075620000226445
2022-12-20,-0.0038485354157194915,0.0,0.0,-0.0038485354157194915,1.0714804385617174
2022-12-21,0.00787472718782084,0.0,0.0,0.00787472718782084,1.0799180547024774
2022-12-22,0.006094503391413115,0.0,0.0,0.006094503391413115,1.0864996189493097
2022-12-23,-0.001136109632380089,0.0,0.0,-0.001136109632380089,1.0852652362666442
2022-12-26,-0.0002449522677764474,0.42073509070415427,0.0006311026360562315,-0.0008760549038326789,1.0843144843344537
2022-12-27,0.006821464617226134,0.0,0.0,0.006821464617226134,1.091711097223287
2022-12-28,0.003023879082471496,0.0,0.0,0.003023879082471496,1.0950122995742826
2022-12-29,0.002587614251617146,0.0,0.0,0.002587614251617146,1.0978457690063572
2022-12-30,-2.4580538863283813e-05,0.0,0.0,-2.4580538863283813e-05,1.0978187833657662
2023-01-03,0.002632261293718796,0.015906833042969026,2.386024956445354e-05,0.0026084010441543427,1.1006823350265897
2023-01-04,0.007663586869132109,0.0,0.0,0.007663586869132109,1.1091175097163852
2023-01-05,0.001868323850797974,0.0,0.0,0.001868323850797974,1.111189700413126
2023-01-06,-0.006677601063829137,0.0,0.0,-0.006677601063829137,1.1037696188875312
2023-01-09,0.008803995579202886,0.03183965590776125,4.775948386164187e-05,0.008756236095341244,1.1134344862653753
2023-01-10,-0.00012983579203111302,0.0,0.0,-0.00012983579203111302,1.1132899226169763
2023-01-11,0.00805285169170924,0.0,0.0,0.00805285169170924,1.1222550812536853
2023-01-12,-0.0058919782597048505,0.0,0.0,-0.0058919782597048505,1.1156427787130954
2023-01-13,0.013295474274852156,0.0,0.0,0.013295474274852156,1.1304757785773998
2023-01-16,0.0013299118963283204,0.7703928570329281,0.0011555892855493923,0.00017432261077892806,1.1306728460665436
2023-01-17,9.507520425836076e-05,0.0,0.0,9.507520425836076e-05,1.1307803450183327
2023-01-18,-0.0009281655317800179,0.0,0.0,-0.0009281655317800179,1.1297307936780725
2023-01-19,0.0022980960184007687,0.0,0.0,0.0022980960184007687,1.1323270235168887
2023-01-20,0.00639787549775325,0.0,0.0,0.00639787549775325,1.1395715108360913
2023-01-30,-0.0007044981953490693,0.7298985636151596,0.0010948478454227393,-0.0017993460407718085,1.1375210273498921
2023-01-31,-0.0070679910951045284,0.0,0.0,-0.0070679910951045284,1.129481038858089
2023-02-01,0.006693945946572127,0.0,0.0,0.006693945946572127,1.137041723879883
2023-02-02,0.0003646708294409388,0.0,0.0,0.0003646708294409388,1.137456369828439
2023-02-03,-0.007551192370638891,0.0,0.0,-0.007551192370638891,1.128867217966656
2023-02-06,-0.00685068676025001,1.0182873884163526,0.0015274310826245288,-0.008378117842874538,1.1194094353855732
2023-02-07,0.00035285431127243984,0.0,0.0,0.00035285431127243984,1.1198044238309282
2023-02-08,-0.0005560106227442489,0.0,0.0,-0.0005560106227442489,1.1191818006758822
2023-02-09,0.002167787287058842,0.0,0.0,0.002167787287058842,1.121607948755295
2023-02-10,-0.00025653914828439384,0.0,0.0,-0.00025653914828439384,1.1213202124074124
2023-02-13,0.00238106944503593,0.5999765272401356,0.0008999647908602034,0.0014811046541757266,1.1229810049928304
2023-02-14,0.0017890033115884989,0.0,0.0,0.0017890033115884989,1.1249900217296136
2023-02-15,-0.0026108791142784933,0.0,0.0,-0.0026108791142784933,1.122052808778108
2023-02-16,-0.0005506916741689075,0.0,0.0,-0.0005506916741689075,1.1214349036383362
2023-02-17,-0.0037067738285105267,0.0,0.0,-0.0037067738285105267,1.1172779980871514
2023-02-20,0.011662327703357966,0.27022893760876715,0.00040534340641315076,0.011256984296944815,1.1298551789669404
2023-02-21,-5.74910166765601e-05,0.0,0.0,-5.74910166765601e-05,1.1297902224440044
2023-02-22,-0.0023854770300235787,0.0,0.0,-0.0023854770300235787,1.1270951338196191
2023-02-23,-0.001349209214803444,0.0,0.0,-0.001349209214803444,1.1255744466791096
