fund_code,fund_name,fund_family,share_class,fund_type,etf_symbol,etf_name,underlying_name,asset_class,mapping_score,mapping_confidence,mapping_method,etf_rows_valid,etf_median_amount_60d,executable
006756,国泰中证生物医药ETF联接A,国泰中证生物医药ETF联接,A,指数型-股票,512290,生物医药ETF国泰,生物医药,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1739,105774525.0,True
006909,华夏战略新兴成指ETF联接A,华夏战略新兴成指ETF联接,A,指数型-股票,512770,战略新兴ETF华夏,战略新兴,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1919,7611465.5,True
007028,易方达中证500ETF联接发起式A,易方达中证500ETF联接发起式,A,指数型-股票,510580,中证500ETF易方达,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2594,198055418.5,True
007076,汇添富中证医药ETF联接A,汇添富中证医药ETF联接,A,指数型-股票,159929,医药ETF汇添富,医药,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,3118,81334617.5,True
007135,广发中证A100ETF联接A,广发中证A100ETF联接,A,指数型-股票,512910,A100ETF广发,A100,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1710,13528569.0,True
007153,汇添富中证银行ETF联接A,汇添富中证银行ETF联接,A,指数型-股票,512820,银行ETF汇添富,银行,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1853,89790119.0,True
007300,国联安中证半导体ETF联接A,国联安中证半导体ETF联接,A,指数型-股票,512480,半导体ETF国联安,半导体,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1722,2066018970.5,True
007379,易方达上证50ETF联接基金A,易方达上证50ETF联接基金,A,指数型-股票,510100,上证50ETF易方达,上证50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1643,430944221.5,True
007466,华泰柏瑞中证红利低波ETF联接A,华泰柏瑞中证红利低波ETF联接,A,指数型-股票,510880,红利ETF华泰柏瑞,红利,equity_dividend,100.0,HIGH,name_underlying_issuer_v1,4737,654647591.0,True
007472,华夏创业板价值ETF联接A,华夏创业板价值ETF联接,A,指数型-股票,159957,创业板ETF华夏,创业板,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2069,205627854.5,True
007474,华夏创业板成长ETF联接A,华夏创业板成长ETF联接,A,指数型-股票,159957,创业板ETF华夏,创业板,equity_broad,100.0,HIGH,name_underlying_issuer_v1,2069,205627854.5,True
007593,鹏扬中证500质量成长ETF联接A,鹏扬中证500质量成长ETF联接,A,指数型-股票,560500,500质量成长ETF鹏扬,500质量成长,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1179,3403841.5,True
007605,嘉实沪深300红利低波动ETF联接A,嘉实沪深300红利低波动ETF联接,A,指数型-股票,159919,沪深300ETF嘉实,沪深300,equity_broad,100.0,HIGH,name_underlying_issuer_v1,3434,1752919217.5,True
007784,广发央企创新驱动ETF联接A,广发央企创新驱动ETF联接,A,指数型-股票,515600,央企创新ETF广发,央企创新,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1591,5562036.5,True
007786,富国中证国企一带一路ETF联接A,富国中证国企一带一路ETF联接,A,指数型-股票,515150,一带一路ETF富国,一带一路,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1575,2937866.5,True
007792,嘉实央企创新驱动ETF联接A,嘉实央企创新驱动ETF联接,A,指数型-股票,515680,央企创新ETF嘉实,央企创新,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1592,5448976.5,True
007809,富国中证央企创新驱动ETF联接A,富国中证央企创新驱动ETF联接,A,指数型-股票,159974,央企创新ETF富国,央企创新,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1589,1426525.5,True
