signal_date,execution_date,selected,selected_count
2021-03-19,2021-03-22,"511880,515080,513500,515220,512400,512800,159980,159920,515180,159905",10
2021-03-26,2021-03-29,"511880,513500,159980,515080,512800,159920,515180,510880,512400,159941",10
2021-04-02,2021-04-06,"511880,513500,159980,515080,515180,512800,159920,510880,159941,512690",10
2021-04-09,2021-04-12,"511880,513500,159980,515080,515180,510880,159941,512800,515220,513100",10
2021-04-16,2021-04-19,"511880,513500,159980,515080,515180,510880,159941,515220,513100,512800",10
2021-04-23,2021-04-26,"511880,513500,515080,159980,515180,510880,515220,159941,512690,513100",10
2021-04-30,2021-05-06,"511880,513500,515180,515080,159980,510880,515220,159941,512400,512690",10
2021-05-07,2021-05-10,"511880,513500,515080,515180,159980,510880,515220,512400,159941,512690",10
2021-05-14,2021-05-17,"511880,515080,515180,159980,510880,513500,515220,159922,510500,512500",10
2021-05-21,2021-05-24,"511880,515080,513500,515180,159967,159949,159992,159980,515220,159952",10
2021-05-28,2021-05-31,"511880,515080,515180,513500,159967,159949,159922,159980,512010,515220",10
2021-06-04,2021-06-07,"511880,515080,159967,159949,515180,159952,512010,159992,513500,159980",10
2021-06-11,2021-06-15,"511880,159967,515080,159949,510500,515180,512010,159992,513500,159980",10
2021-06-18,2021-06-21,"511880,513500,515080,159967,515220,159949,515180,159952,510880,159941",10
2021-06-25,2021-06-28,"511880,515080,515180,515220,510880,159967,510500,512500,513500,159813",10
2021-07-02,2021-07-05,"511880,515080,515180,513500,159949,159967,159941,513100,159813,159952",10
2021-07-09,2021-07-12,"511880,515080,159949,159967,515180,159922,159813,513500,159801,159941",10
2021-07-16,2021-07-19,"511880,515080,512500,159922,513100,515180,510500,159941,159980,513500",10
2021-07-23,2021-07-26,"511880,513500,515080,513100,159941,512100,515180,159813,512500,159801",10
2021-07-30,2021-08-02,"511880,513500,159813,159801,513100,159941,159980,512400,512100,159967",10
2021-08-06,2021-08-09,"511880,513500,513100,159941,159813,159801,512100,512400,159980,159922",10
2021-08-13,2021-08-16,"511880,513500,513100,159941,515220,512100,159813,512400,159922,512500",10
2021-08-20,2021-08-23,"511880,513500,159941,513100,515220,159813,512100,512400,159922,512500",10
2021-08-27,2021-08-30,"511880,159941,513100,513500,512400,515220,159813,159922,512100,512500",10
2021-09-03,2021-09-06,"511880,159941,513100,513500,515220,515080,159922,512400,512500,510880",10
2021-09-10,2021-09-13,"511880,512400,515220,159922,515080,515180,512500,510500,159941,513500",10
2021-09-17,2021-09-22,"511880,159941,513100,513500,515220,512400,159922,512500,512100,515080",10
2021-09-24,2021-09-27,"511880,510170,159922,512400,512500,515220,510500,159980,513500,159941",10
2021-09-30,2021-10-08,"511880,515220,510170,512660,512400,159922,512500,159980,510500,515080",10
2021-10-08,2021-10-11,"511880,510170,515220,159980,512400,159922,512660,512500,510500,515450",10
2021-10-15,2021-10-18,"511880,159980,510170,515220,512400,159813,513500,159922,510500,512500",10
2021-10-22,2021-10-25,"511880,510170,515220,159980,513500,515450,512400,159941,513100,512660",10
2021-10-29,2021-11-01,"511880,512660,510170,515450,513500,159967,510500,512500,159941,513100",10
2021-11-05,2021-11-08,"511880,159941,513100,513500,512660,159813,159922,510500,512500,510170",10
2021-11-12,2021-11-15,"511880,513500,159941,513100,159813,159801,159967,159949,159922,159937",10
2021-11-19,2021-11-22,"511880,513300,513500,159941,159813,159949,159801,512100,159922,510170",10
2021-11-26,2021-11-29,"511880,513300,159941,513100,159949,159952,512100,510170,515880,512660",10
2021-12-03,2021-12-06,"511880,159949,159952,512100,159813,159995,513300,159941,513100,510170",10
2021-12-10,2021-12-13,"511880,159952,159949,159813,159915,159995,513500,159941,513300,512400",10
2021-12-17,2021-12-20,"511880,515880,159949,159952,512660,159915,513500,159980,159941,513300",10
2021-12-24,2021-12-27,"511880,515050,515880,513500,159941,513300,159980,512100,510100,510500",10
2021-12-31,2022-01-04,"511880,512660,515880,512100,513500,512500,159922,159941,513300,159980",10
2022-01-07,2022-01-10,"511880,515880,515450,515080,513500,512660,515180,512100,159922,510500",10
2022-01-14,2022-01-17,"511880,515880,159980,513500,515050,515080,512100,515450,515180,513300",10
2022-01-21,2022-01-24,"511880,515080,515180,159980,515450,159981,515220,510210,510500,512100",10
2022-01-28,2022-02-07,"511880,159981,159980,515450,515080,515180,515220",7
2022-02-11,2022-02-14,"511880,515450,159981,159980,515220,515080,510880",7
2022-02-18,2022-02-21,"511880,159980,515220,515450,159981,515080,510880,510210,518880,159937",10
2022-02-25,2022-02-28,"511880,159980,515220,159981,515450,512040,159937,518880,515080,512100",10
2022-03-04,2022-03-07,"511880,159980,159981,515220,159937,515450,518880,512040,510880",9
2022-03-11,2022-03-14,"511880,159981,159980,159937,518880,515220,512040,510880,515080",9
2022-03-18,2022-03-21,"511880,159980,159981,518880,159934,515220,512040",7
2022-03-25,2022-03-28,"511880,159980,159981,159934,159937,515220,510880,515080,513500,512040",10
2022-04-01,2022-04-06,"511880,515220,159980,159981,518880,159937,510880,515180,515080",9
2022-04-08,2022-04-11,"511880,159980,515220,518800,518880,159981,510880,515100,515180",9
2022-04-15,2022-04-18,"511880,518800,159937,518880,515220,510880,515100,159981,515080",9
2022-04-22,2022-04-25,"511880,518800,518880,159937,515220,159981,510880,515450",8
2022-04-29,2022-05-05,"511880,518800,518880,159937,515220,159981,515100,510880,515450",9
2022-05-06,2022-05-09,"511880,518880,518800,159937,515220,159981,515100",7
2022-05-13,2022-05-16,"511880,518800,518880,159937,159981,515220,515100",7
2022-05-20,2022-05-23,"511880,159981,515220,518880,518800,159937,515100,510880",8
2022-05-27,2022-05-30,"511880,515220,159981,518880,159934,159937,515100,510880",8
2022-06-02,2022-06-06,"511880,515220,159937,518880,518800,159981,515100,510880",8
2022-06-10,2022-06-13,"511880,515220,159981,510170,510880,515100,515080,159980,159937",9
2022-06-17,2022-06-20,"511880,515220,510170,159981,510880,515100,515080,518880,518800",9
2022-06-24,2022-06-27,"511880,515790,515220,515100,510170,518880,159937",7
2022-07-01,2022-07-04,"511880,515790,515220,510170,512400,510210,510100,510050,510880,515080",10
2022-07-08,2022-07-11,"511880,515790,159755,159871,512400,515080,515180,510880",8
2022-07-15,2022-07-18,"511880,515790,159755",3
2022-07-22,2022-07-25,"511880,515790,159755,515100",4
2022-07-29,2022-08-01,"511880,515790,159845,512100,159755,159881,515080,515180,510880,518880",10
2022-08-05,2022-08-08,"511880,515790,159845,512100,159755,159881,518800,518880",8
2022-08-12,2022-08-15,"511880,515790,159845,512100,515220,159881,159871,512400,510880,515180",10
2022-08-19,2022-08-22,"511880,515790,159845,512100,159755,515080,515180,510880,518880,518800",10
2022-08-26,2022-08-29,"511880,515790,515220,510500,515080,510880,515180,159881,518800,518880",10
2022-09-02,2022-09-05,"511880,512890,515080,515180,515220,515790",6
2022-09-09,2022-09-13,"511880,512890,515080,510880,515220,512660,159937,518880,159934",9
2022-09-16,2022-09-19,"511880,512890,515220,510880,515180",5
2022-09-23,2022-09-26,"511880,515220,512890,510880,515080,518880,518800",7
2022-09-30,2022-10-10,"511880,515220,518800,159937,518880,512890,510880",7
2022-10-14,2022-10-17,"511880,518880,159937,159934,515220,512890,515790,510880,515080",9
2022-10-21,2022-10-24,"511880,515220,512890,510880",4
2022-10-28,2022-10-31,"511880,159937,159934,518880,512660,512710",6
2022-11-04,2022-11-07,"511880,159852,515220,518800,159934,159937",6
2022-11-11,2022-11-14,"511880,518800,159937,159934,515220,159852,510880,515080,159892,513060",10
2022-11-18,2022-11-21,"511880,518800,159937,159934,159852,159892,513060,159992,515080,510500",10
2022-11-25,2022-11-28,"511880,159937,518800,159934,159852,515450,515100,512890,159892,513060",10
2022-12-02,2022-12-05,"511880,159937,518800,159934,159852,515100,515450,159892,513060,515180",10
2022-12-09,2022-12-12,"511880,159980,159892,159937,513060,518800,515100,159792,515450,159852",10
2022-12-16,2022-12-19,"511880,159937,518880,159934,159892,513060,515100,515450,159792,512690",10
2022-12-23,2022-12-26,"511880,159892,513060,159937,159980,518880,159792,159852,515100,513090",10
2022-12-30,2023-01-03,"511880,159980,159937,518880,159892,513060,515100,159792,515450,159852",10
2023-01-06,2023-01-09,"511880,513060,159892,159980,159937,159934,159792,513090,159869,515100",10
2023-01-13,2023-01-16,"159937,159934,511880,518800,159892,159920,513060,512070,513090,159708",10
2023-01-20,2023-01-30,"159934,518800,159937,511880,159920,512070,513060,159892,513090,515450",10
2023-02-03,2023-02-06,"511880,515450,159980,515100,159934,159920,515180,159937,512800,512070",10
2023-02-10,2023-02-13,"511880,515450,515100,159920,512800,159905,512690,513690,159980,513010",10
2023-02-17,2023-02-20,"511880,512690,515100,515450,159905,159869,159920,513690,159980,159937",10
2023-02-24,2023-02-27,"511880,515100,512690,159708,159905,159869,159980,159937,518800,159920",10
2023-03-03,2023-03-06,"511880,515100,512690,515450,159937,518880,518800,159869,159708,510210",10
2023-03-10,2023-03-13,"511880,518880,518800,159937,159852,159869,515450,515100,513690,159708",10
2023-03-17,2023-03-20,"511880,159934,518800,159937,159852,515980,515450,515100,512890,513100",10
2023-03-24,2023-03-27,"511880,159869,515980,515100,515450,518800,159845,159922,159937,159934",10
2023-03-31,2023-04-03,"511880,159869,515980,515100,515450,510210,159922,159845,159934,159937",10
2023-04-07,2023-04-10,"511880,159869,159819,515100,515450,588090,588000,588050,518800,159934",10
2023-04-14,2023-04-17,"511880,515100,515450,510210,159869,515980,512890,510500,159922,518800",10
2023-04-21,2023-04-24,"511880,515450,515100,159869,512890,513300,513100,159941,515980,159937",10
2023-04-28,2023-05-04,"511880,515100,515450,512890,159869,513300,518800,159937,159934,513100",10
2023-05-05,2023-05-08,"511880,515450,515100,510880,159869,159937,518880,518800,513690,513300",10
2023-05-12,2023-05-15,"511880,513300,159941,513100,515450,159869,515100,518800,159937,518880",10
2023-05-19,2023-05-22,"511880,513300,513100,159941,518800,518880,159937,159869,515450,515100",10
2023-05-26,2023-05-29,"511880,513300,513100,159941,159869,518800,518880,159937,159819,515450",10
2023-06-02,2023-06-05,"511880,159869,513300,513100,159941,518800,159934,518880,515880,515450",10
2023-06-09,2023-06-12,"511880,159869,513300,513100,159941,518880,159934,159937,515450,515880",10
2023-06-16,2023-06-19,"511880,159869,513300,159941,513100,515880,515450,515100,512890,159934",10
2023-06-21,2023-06-26,"511880,513300,513100,513500,159869,515880,515450,518880,159934,159937",10
2023-06-30,2023-07-03,"511880,513500,159941,513100,159869,515880,515450,159937,518880,159934",10
2023-07-07,2023-07-10,"511880,513500,159941,513100,513520,515450,159937,518880,159934,515880",10
2023-07-14,2023-07-17,"511880,513100,159941,513300,513520,515450,518880,159934,159937,515880",10
2023-07-21,2023-07-24,"511880,159941,513100,513300,159937,518880,518800,513520,515450,515100",10
2023-07-28,2023-07-31,"511880,159941,513300,513100,513520,515450,159934,518880,159937,515100",10
2023-08-04,2023-08-07,"511880,159941,513500,513100,515100,515880,515450,513520,518800,159937",10
2023-08-11,2023-08-14,"511880,513500,159941,513100,518880,159937,159934,515450,515880,515100",10
2023-08-18,2023-08-21,"511880,159632,513500,159941,159934,518880,518800,515450,515100,159981",10
2023-08-25,2023-08-28,"511880,159937,518880,518800,159981,513500,515450,159632,515100,159941",10
2023-09-01,2023-09-04,"511880,159937,518880,159934,159981,513500,515450,159941,159632,515100",10
2023-09-08,2023-09-11,"511880,159937,518880,518800,513500,159941,159632,159981,515450,515100",10
2023-09-15,2023-09-18,"511880,159937,159934,518880,513500,159981,515450,159941,159632,515300",10
2023-09-22,2023-09-25,"511880,159937,518800,518880,515300,515450,159981,512890,159842,159941",10
2023-09-28,2023-10-09,"511880,515300,512800,515450,510880,159981,159632,159941,513100,518800",10
2023-10-13,2023-10-16,"511880,515300,159632,513100,159941,512800,510880,515450,159842,159934",10
2023-10-20,2023-10-23,"511880,518800,159934,159937,159842,515220,159941,159632,513100,512890",10
2023-10-27,2023-10-30,"511880,159937,518800,518880,159981,159842,515450,515300,159941,159632",10
2023-11-03,2023-11-06,"511880,518880,159937,159934,159632,159981,513100,159941,515220,515450",10
2023-11-10,2023-11-13,"511880,159934,159937,518880,159981,159632,159941,513100,515220,515300",10
2023-11-17,2023-11-20,"511880,159937,518800,159934,159981,159632,159941,513100,515220,512040",10
2023-11-24,2023-11-27,"511880,515220,512040,159632,513100,159941,159937,518800,159934,515120",10
2023-12-01,2023-12-04,"511880,515220,159937,518800,512040,518880,159632,513100,513300,515120",10
2023-12-08,2023-12-11,"511880,159937,515220,518800,518880,159632,159941,513300,159981",9
2023-12-15,2023-12-18,"511880,513100,159632,159941,515220,513520,159937,518880,518800",9
2023-12-22,2023-12-25,"511880,159632,513100,513300,515220,159937,518880,518800,513520",9
2023-12-29,2024-01-02,"511880,159632,513100,159941,518880,159937,518800,513520,515220",9
2024-01-05,2024-01-08,"511880,518880,159934,159937,515220,513500,159632,513100,513520,512890",10
2024-01-12,2024-01-15,"511880,513500,159632,518880,518800,513100,159934,513520,515220,512890",10
2024-01-19,2024-01-22,"511880,513500,159632,513100,513520,159937,159934,518800,515220",9
2024-01-26,2024-01-29,"511880,513500,159632,513100,515220,518800,159937,159934,513520,512890",10
2024-02-02,2024-02-05,"511880,513500,159632,159937,518800,159934,513100,515220,513520,515450",10
2024-02-08,2024-02-19,"511880,513500,159632,513100,159934,518800,159937,515220,515450,510880",10
2024-02-23,2024-02-26,"511880,513500,159632,513100,518880,159934,518800,515220,515300,515450",10
2024-03-01,2024-03-04,"511880,513500,159632,513300,513520,518880,515450,159934,518800,515220",10
2024-03-08,2024-03-11,"511880,513500,513300,159632,515450,159934,159937,518800,513520,515300",10
2024-03-15,2024-03-18,"511880,513500,513300,159937,518800,518880,159632,513520,515450,515300",10
2024-03-22,2024-03-25,"511880,513500,513520,513300,513100,515450,159937,518800,518880,515300",10
2024-03-29,2024-04-01,"511880,513500,513300,513520,513100,518880,518800,159934,515450,515300",10
2024-04-03,2024-04-08,"511880,513300,513100,513520,159941,518800,518880,159934,515300,515450",10
2024-04-12,2024-04-15,"511880,513300,513100,159941,515450,518880,159934,518800,515300,513520",10
2024-04-19,2024-04-22,"511880,510880,515450,515300,518800,518880,518850,512800,515220,513300",10
2024-04-26,2024-04-29,"511880,515300,515450,512040,513690,513650,512800,159980,159611,159937",10
2024-04-30,2024-05-06,"511880,515300,515450,513650,512800,159937,512040,159980,518800,513690",10
2024-05-10,2024-05-13,"511880,159691,512040,515300,513690,515450,159652,159881,513650,159871",10
2024-05-17,2024-05-20,"511880,159691,159937,159934,518880,515300,512800,513650,512040,513690",10
2024-05-24,2024-05-27,"511880,159980,159937,518850,515300,513650,512890,515450,159659,159691",10
2024-05-31,2024-06-03,"511880,512890,515300,159937,159980,518850,515450,512800,513650,159632",10
2024-06-07,2024-06-11,"511880,515300,513650,513110,159937,159659,518880,518850,513050,515450",10
2024-06-14,2024-06-17,"511880,513650,513110,159632,515300,159611,512800,515450,159937,518880",10
2024-06-21,2024-06-24,"511880,513650,513110,513300,515300,518880,159937,159934,515450,512800",10
2024-06-28,2024-07-01,"511880,513650,513500,513300,515300,512800,515450,159611,159980,512890",10
2024-07-05,2024-07-08,"511880,513650,513500,159941,159980,515300,512800,515450,159611,510880",10
2024-07-12,2024-07-15,"511880,513650,513500,513110,515300,512800,513050,159937,518800,518880",10
2024-07-19,2024-07-22,"511880,515300,513650,513500,513110,512800,513310,510100,510050,515450",10
